Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
imspace,https://stat.ink/@imspace/spl3/c13dc290-74ea-4d32-91b9-c160f02b4335,2022-12-06 02:23:31+09:00,area,xmatch,chozame,bravo,2230.4,78,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,412,4,4,0,2,2,explosher,pointsensor,amefurashi,320,2,0,2,2,1,sshooter,kyubanbomb,ultrashot,330,0,0,0,4,1,sharp,quickbomb,kanitank,136,1,1,0,4,0,bold,curlingbomb,ultrahanko,541,5,5,0,1,2,sshooter,kyubanbomb,ultrashot,324,5,4,1,2,0,longblaster,kyubanbomb,hopsonar,247,4,3,1,0,1,sshooter_collabo,splashbomb,tripletornado,334,0,0,0,2,1
lentan,https://stat.ink/@lentan/spl3/b3346150-d9f4-4f89-9786-877fc8da3314,2022-12-06 02:23:00+09:00,area,xmatch,chozame,alpha,2333.7,195,v2.0.0,allow,liter4k,trap,hopsonar,643,5,3,2,0,3,splatroller,curlingbomb,greatbarrier,587,12,11,1,6,1,sshooter,kyubanbomb,ultrashot,937,9,7,2,5,3,drivewiper,torpedo,ultrahanko,678,9,6,3,4,2,splatroller,curlingbomb,greatbarrier,810,6,4,2,6,3,liter4k,trap,hopsonar,606,4,4,0,5,2,pablo,splashbomb,megaphone51,965,1,1,0,7,6,52gal,splashshield,megaphone51,604,5,5,0,9,1
lin010151,https://stat.ink/@lin010151/spl3/abf8a574-1687-4568-917e-af109df56a55,2022-12-06 02:22:19+09:00,area,xmatch,kusaya,bravo,2376.6,230,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,881,10,8,2,8,2,quadhopper_black,robotbomb,sameride,1056,12,8,4,11,2,wakaba,splashbomb,greatbarrier,1335,10,7,3,7,5,hydra,robotbomb,nicedama,1020,6,4,2,2,5,sharp,quickbomb,kanitank,1158,12,8,4,5,3,quadhopper_black,robotbomb,sameride,1073,11,6,5,9,3,heroshooter_replica,kyubanbomb,ultrashot,1034,10,8,2,7,4,kugelschreiber,tansanbomb,jetpack,1135,6,6,0,6,3
imspace,https://stat.ink/@imspace/spl3/9249fba7-1986-4f48-aa23-9cbe7258ca8a,2022-12-06 02:20:50+09:00,area,xmatch,chozame,alpha,2230.4,150,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,560,7,5,2,3,2,sshooter_collabo,splashbomb,tripletornado,568,6,5,1,4,2,explosher,pointsensor,amefurashi,766,5,3,2,3,2,spygadget,trap,sameride,636,5,5,0,4,1,explosher,pointsensor,amefurashi,1019,5,3,2,4,2,sshooter,kyubanbomb,ultrashot,585,4,4,0,4,2,wakaba,splashbomb,greatbarrier,375,6,3,3,6,1,splatroller,curlingbomb,greatbarrier,585,2,2,0,4,2
kuromorin,https://stat.ink/@kuromorin/spl3/429f4572-6e54-44d3-8974-007a9f1b52a0,2022-12-06 02:19:24+09:00,area,xmatch,kusaya,bravo,1795.4,300,v2.0.0,deny,rapid,trap,tripletornado,1246,12,12,0,11,5,explosher,pointsensor,amefurashi,1702,9,5,4,7,5,momiji,torpedo,hopsonar,1392,11,5,6,7,6,heroshooter_replica,kyubanbomb,ultrashot,1080,7,6,1,9,4,longblaster,kyubanbomb,hopsonar,930,16,12,4,9,4,furo,sprinkler,amefurashi,1825,5,4,1,4,7,sharp,quickbomb,kanitank,1626,13,11,2,5,6,sshooter,kyubanbomb,ultrashot,1103,10,7,3,10,2
ore,https://stat.ink/@ore/spl3/ee77d655-5071-4f61-bccd-46038a76fc37,2022-12-06 02:17:24+09:00,area,xmatch,chozame,alpha,2093.1,84,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,445,4,3,1,1,1,nova_neo,tansanbomb,ultrahanko,261,6,5,1,2,0,momiji,torpedo,hopsonar,513,2,1,1,0,2,sshooter_collabo,splashbomb,tripletornado,494,2,2,0,2,2,screwslosher,tansanbomb,nicedama,419,3,3,0,3,1,momiji,torpedo,hopsonar,428,2,1,1,3,2,sshooter,kyubanbomb,ultrashot,364,0,0,0,2,1,sharp,quickbomb,kanitank,316,0,0,0,3,1
bernchan07,https://stat.ink/@bernchan07/spl3/3e4c9e3b-7a7e-4f0f-a097-f3edcbcce6b3,2022-12-06 02:16:53+09:00,area,xmatch,kusaya,alpha,2374.5,191,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,865,9,6,3,5,3,wakaba,splashbomb,greatbarrier,968,9,4,5,5,4,variableroller,trap,missile,1174,8,6,2,2,3,screwslosher,tansanbomb,nicedama,837,8,6,2,3,2,sharp,quickbomb,kanitank,1065,7,4,3,5,3,quadhopper_black,robotbomb,sameride,784,7,6,1,9,1,jimuwiper,quickbomb,shokuwander,1008,4,2,2,3,3,hissen,poisonmist,jetpack,591,5,3,2,6,2
lin010151,https://stat.ink/@lin010151/spl3/7c722a88-c188-4a05-8010-3795201080e6,2022-12-06 02:16:35+09:00,area,xmatch,kusaya,alpha,2344.9,271,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1299,10,5,5,4,5,prime_collabo,kyubanbomb,nicedama,1188,14,13,1,3,5,quadhopper_black,robotbomb,sameride,1191,15,11,4,9,3,dualsweeper,splashbomb,hopsonar,934,11,7,4,7,3,nautilus47,pointsensor,amefurashi,909,12,9,3,9,2,wakaba,splashbomb,greatbarrier,1446,7,6,1,8,6,sshooter_collabo,splashbomb,tripletornado,1002,6,3,3,11,4,dualsweeper,splashbomb,hopsonar,1197,5,4,1,9,5
arumican13,https://stat.ink/@arumican13/spl3/f52cb3e2-a5a2-4eb3-8584-7f246eb27739,2022-12-06 02:15:30+09:00,area,xmatch,chozame,bravo,2245.4,76,v2.0.0,allow,sharp,quickbomb,kanitank,446,2,0,2,3,2,prime,linemarker,kanitank,167,3,2,1,3,0,sshooter,kyubanbomb,ultrashot,430,1,1,0,2,1,hokusai,kyubanbomb,shokuwander,298,0,0,0,2,0,wakaba,splashbomb,greatbarrier,420,7,4,3,0,1,prime_collabo,kyubanbomb,nicedama,312,5,2,3,0,1,sputtery_hue,torpedo,sameride,332,1,1,0,2,1,splatroller,curlingbomb,greatbarrier,191,3,3,0,1,0
ngxx_ga,https://stat.ink/@ngxx_ga/spl3/ba2cd65e-b2c5-46b2-9db4-263072ea959a,2022-12-06 02:13:35+09:00,area,xmatch,kusaya,alpha,1714.6,310,v2.0.0,allow,promodeler_rg,sprinkler,nicedama,1922,6,4,2,8,7,sshooter_collabo,splashbomb,tripletornado,1442,13,12,1,7,5,bold,curlingbomb,ultrahanko,1520,11,8,3,8,6,wideroller,splashshield,kyuinki,1492,5,3,2,7,6,sshooter,kyubanbomb,ultrashot,1720,17,14,3,7,7,variableroller,trap,missile,1871,10,9,1,7,6,momiji,torpedo,hopsonar,1586,5,2,3,7,6,sharp,quickbomb,kanitank,1441,8,5,3,6,5
ore,https://stat.ink/@ore/spl3/7b3dec53-a8c0-4368-bd9b-0f81d8382a32,2022-12-06 02:13:05+09:00,area,xmatch,chozame,alpha,2093.1,117,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,558,7,6,1,2,2,prime_collabo,kyubanbomb,nicedama,649,4,4,0,1,2,sharp,quickbomb,kanitank,526,1,1,0,4,1,campingshelter,jumpbeacon,kyuinki,350,1,1,0,3,1,bottlegeyser,splashshield,ultrashot,488,5,5,0,0,3,jimuwiper,quickbomb,shokuwander,501,4,3,1,6,1,sharp,quickbomb,kanitank,454,4,2,2,3,1,heroshooter_replica,kyubanbomb,ultrashot,438,4,0,4,3,1
lentan,https://stat.ink/@lentan/spl3/ddcef676-7e41-46ec-8336-c3fcab71b25a,2022-12-06 02:12:23+09:00,area,xmatch,kusaya,alpha,2333.7,285,v2.0.0,allow,liter4k,trap,hopsonar,1281,10,6,4,0,5,quadhopper_black,robotbomb,sameride,940,12,10,2,14,2,dynamo,sprinkler,energystand,1487,11,9,2,7,5,tristringer,poisonmist,megaphone51,1324,6,3,3,3,7,sharp,quickbomb,kanitank,1447,8,5,3,7,6,jimuwiper,quickbomb,shokuwander,1440,8,7,1,9,4,hydra,robotbomb,nicedama,1091,8,5,3,7,6,splatscope,splashbomb,kyuinki,1047,7,7,0,5,3
