Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
Ingwer,https://stat.ink/@Ingwer/spl3/cbebb416-6d0a-48dc-b30b-36cdd34516a7,2022-12-04 12:03:52+09:00,yagura,xmatch,gonzui,bravo,1724.2,300,v2.0.0,deny,sshooter_collabo,splashbomb,tripletornado,1239,13,11,2,3,4,drivewiper,torpedo,ultrahanko,661,7,4,3,11,2,barrelspinner,sprinkler,hopsonar,952,9,7,2,9,3,bold,curlingbomb,ultrahanko,1042,3,3,0,13,2,prime_collabo,kyubanbomb,nicedama,1072,15,15,0,6,4,drivewiper,torpedo,ultrahanko,806,12,9,3,9,2,promodeler_rg,sprinkler,nicedama,1800,6,3,3,4,9,kugelschreiber,tansanbomb,jetpack,1140,14,9,5,6,1
akayas_77,https://stat.ink/@akayas_77/spl3/6d16acf3-c72c-49f7-b76b-d3dd1004eab6,2022-12-04 12:00:07+09:00,yagura,xmatch,gonzui,alpha,1990.5,294,v2.0.0,allow,sharp,quickbomb,kanitank,812,6,4,2,8,3,nautilus47,pointsensor,amefurashi,1019,11,11,0,6,4,furo,sprinkler,amefurashi,1933,7,5,2,2,8,dualsweeper,splashbomb,hopsonar,1095,7,5,2,5,5,longblaster,kyubanbomb,hopsonar,1105,12,9,3,8,4,splatspinner_collabo,poisonmist,greatbarrier,975,6,4,2,7,4,dualsweeper,splashbomb,hopsonar,1180,7,4,3,3,5,momiji,torpedo,hopsonar,1263,4,4,0,7,4
akayas_77,https://stat.ink/@akayas_77/spl3/f6f7d4f3-5c3e-4a7a-803d-8e81ae030db5,2022-12-04 11:54:02+09:00,yagura,xmatch,gonzui,alpha,1990.5,240,v2.0.0,allow,sharp,quickbomb,kanitank,723,14,5,9,5,3,splatspinner_collabo,poisonmist,greatbarrier,1071,12,8,4,5,4,sputtery_hue,torpedo,sameride,1017,15,10,5,8,4,prime_collabo,kyubanbomb,nicedama,1026,14,12,2,4,5,promodeler_rg,sprinkler,nicedama,1474,5,3,2,8,7,quadhopper_black,robotbomb,sameride,928,10,10,0,12,2,prime_collabo,kyubanbomb,nicedama,890,9,6,3,5,3,dualsweeper,splashbomb,hopsonar,690,5,3,2,10,2
SHUUSHA,https://stat.ink/@SHUUSHA/spl3/92a1e51e-fc30-4eb8-8688-d66796390f97,2022-12-04 11:52:18+09:00,yagura,xmatch,amabi,bravo,1747.5,300,v2.0.0,deny,sharp,quickbomb,kanitank,1532,11,10,1,7,4,dualsweeper,splashbomb,hopsonar,1197,6,0,6,7,5,prime_collabo,kyubanbomb,nicedama,1069,2,2,0,7,3,dynamo,sprinkler,energystand,1107,7,5,2,10,4,variableroller,trap,missile,1303,11,10,1,6,4,prime_collabo,kyubanbomb,nicedama,1118,10,9,1,6,3,wakaba,splashbomb,greatbarrier,1268,11,5,6,5,5,prime_collabo,kyubanbomb,nicedama,1297,8,7,1,0,7
akayas_77,https://stat.ink/@akayas_77/spl3/920aef9a-86fb-431d-b18d-66905646dc2c,2022-12-04 11:48:45+09:00,yagura,xmatch,gonzui,bravo,1990.5,136,v2.0.0,allow,tristringer,poisonmist,megaphone51,449,4,1,3,2,2,52gal,splashshield,megaphone51,696,4,4,0,4,2,carbon_deco,quickbomb,ultrashot,405,4,2,2,5,1,sshooter,kyubanbomb,ultrashot,554,2,2,0,5,1,hydra,robotbomb,nicedama,669,6,4,2,0,2,momiji,torpedo,hopsonar,748,6,4,2,3,3,sshooter,kyubanbomb,ultrashot,564,5,5,0,2,3,splatroller,curlingbomb,greatbarrier,328,4,3,1,4,1
akayas_77,https://stat.ink/@akayas_77/spl3/1c10345b-7b7a-4239-8f5e-1e359b379582,2022-12-04 11:45:12+09:00,yagura,xmatch,gonzui,bravo,1990.5,287,v2.0.0,allow,tristringer,poisonmist,megaphone51,644,6,5,1,8,2,explosher,pointsensor,amefurashi,1452,13,7,6,7,4,pablo,splashbomb,megaphone51,1150,8,7,1,8,5,clashblaster,splashbomb,ultrashot,771,7,6,1,7,4,barrelspinner,sprinkler,hopsonar,1541,14,8,6,4,7,hotblaster,robotbomb,greatbarrier,859,13,11,2,5,4,carbon_deco,quickbomb,ultrashot,1003,9,7,2,10,4,longblaster,kyubanbomb,hopsonar,752,6,4,2,5,3
Ingwer,https://stat.ink/@Ingwer/spl3/eecb56d2-6480-4aec-bc4b-3557f9732a19,2022-12-04 11:44:31+09:00,yagura,xmatch,gonzui,alpha,1686.6,300,v2.0.0,deny,sshooter_collabo,splashbomb,tripletornado,1242,9,7,2,5,4,52gal,splashshield,megaphone51,1103,13,12,1,10,3,spaceshooter,pointsensor,megaphone51,1214,5,2,3,6,4,sharp,quickbomb,kanitank,816,10,9,1,12,3,52gal,splashshield,megaphone51,751,14,11,3,8,4,sshooter,kyubanbomb,ultrashot,1175,13,11,2,4,6,splatspinner_collabo,poisonmist,greatbarrier,762,8,2,6,9,3,sharp,quickbomb,kanitank,1414,10,9,1,9,4
itsutsuba55,https://stat.ink/@itsutsuba55/spl3/252136b6-4169-47ce-b1a9-6cac2192cf68,2022-12-04 11:39:14+09:00,yagura,xmatch,gonzui,bravo,2006.6,135,v2.0.0,allow,wakaba,splashbomb,greatbarrier,505,4,4,0,3,1,sshooter_collabo,splashbomb,tripletornado,506,7,5,2,6,1,sshooter_collabo,splashbomb,tripletornado,576,4,4,0,5,1,dualsweeper,splashbomb,hopsonar,562,3,0,3,3,2,sshooter_collabo,splashbomb,tripletornado,548,7,6,1,2,3,prime,linemarker,kanitank,591,7,5,2,3,2,sharp,quickbomb,kanitank,724,4,4,0,3,2,sputtery_hue,torpedo,sameride,469,3,2,1,5,2
itsutsuba55,https://stat.ink/@itsutsuba55/spl3/5e899471-197c-43d8-8a85-b8da2e716300,2022-12-04 11:35:43+09:00,yagura,xmatch,gonzui,bravo,2006.6,300,v2.0.0,allow,wakaba,splashbomb,greatbarrier,1028,12,9,3,8,3,jimuwiper,quickbomb,shokuwander,1163,12,11,1,12,0,momiji,torpedo,hopsonar,1174,11,3,8,5,6,wakaba,splashbomb,greatbarrier,1444,10,10,0,8,4,dynamo,sprinkler,energystand,1166,15,11,4,12,3,wakaba,splashbomb,greatbarrier,1349,13,12,1,9,6,sharp,quickbomb,kanitank,1449,5,5,0,4,7,momiji,torpedo,hopsonar,1213,6,5,1,8,7
hutarun,https://stat.ink/@hutarun/spl3/853cad72-4138-42d0-8d2c-8c9ab84d3772,2022-12-04 11:33:32+09:00,yagura,xmatch,gonzui,alpha,2412.1,305,v2.0.0,deny,hydra,robotbomb,nicedama,1254,9,4,5,4,5,heroshooter_replica,kyubanbomb,ultrashot,1520,14,13,1,6,7,longblaster,kyubanbomb,hopsonar,1060,13,7,6,7,4,hotblaster,robotbomb,greatbarrier,1037,9,9,0,12,3,rapid,trap,tripletornado,1366,11,9,2,7,5,tristringer,poisonmist,megaphone51,1167,11,4,7,6,7,sharp,quickbomb,kanitank,902,9,9,0,13,0,screwslosher,tansanbomb,nicedama,1118,9,7,2,7,3
akayas_77,https://stat.ink/@akayas_77/spl3/0254d9ab-4cc7-4273-b1cb-095e244bda3e,2022-12-04 11:32:29+09:00,yagura,xmatch,gonzui,bravo,2018.3,300,v2.0.0,allow,explosher,pointsensor,amefurashi,1180,13,2,11,5,4,52gal,splashshield,megaphone51,1088,12,8,4,12,5,splatspinner_collabo,poisonmist,greatbarrier,1305,10,10,0,9,3,nova_neo,tansanbomb,ultrahanko,476,12,11,1,15,0,52gal,splashshield,megaphone51,1356,22,17,5,6,6,screwslosher,tansanbomb,nicedama,934,12,7,5,9,2,longblaster,kyubanbomb,hopsonar,963,14,9,5,7,4,prime_collabo,kyubanbomb,nicedama,944,8,8,0,9,1
Ingwer,https://stat.ink/@Ingwer/spl3/7b312cf7-3e28-4062-9c81-34f1e36d99e7,2022-12-04 11:31:43+09:00,yagura,xmatch,gonzui,bravo,1686.6,206,v2.0.0,deny,splatspinner_collabo,poisonmist,greatbarrier,688,5,3,2,6,1,liter4k,trap,hopsonar,535,8,5,3,7,0,sshooter,kyubanbomb,ultrashot,965,6,4,2,8,2,nova_neo,tansanbomb,ultrahanko,453,6,5,1,6,1,prime_collabo,kyubanbomb,nicedama,1057,13,11,2,2,4,screwslosher,tansanbomb,nicedama,917,11,8,3,4,5,sputtery,jumpbeacon,energystand,351,2,1,1,7,2,liter4k,trap,hopsonar,577,9,7,2,4,2
itsutsuba55,https://stat.ink/@itsutsuba55/spl3/3fd20b6d-15a5-4b5d-9c6e-2b3845031dc3,2022-12-04 11:29:07+09:00,yagura,xmatch,amabi,bravo,2006.6,148,v2.0.0,allow,splatcharger,splashbomb,kyuinki,345,1,1,0,3,0,96gal,sprinkler,kyuinki,657,4,4,0,6,2,sshooter,kyubanbomb,ultrashot,527,4,3,1,6,1,splatspinner_collabo,poisonmist,greatbarrier,527,3,3,0,3,1,liter4k,trap,hopsonar,431,8,7,1,1,3,splatspinner_collabo,poisonmist,greatbarrier,842,3,2,1,2,4,kelvin525,splashshield,nicedama,388,6,5,1,6,1,promodeler_rg,sprinkler,nicedama,1029,4,4,0,2,5
hutarun,https://stat.ink/@hutarun/spl3/0e84db4b-c2b6-4285-8fb8-9bc701a7e7aa,2022-12-04 11:27:01+09:00,yagura,xmatch,amabi,alpha,2412.1,311,v2.0.0,deny,hydra,robotbomb,nicedama,949,6,1,5,8,4,hotblaster,robotbomb,greatbarrier,1273,20,18,2,9,5,screwslosher,tansanbomb,nicedama,1539,14,13,1,6,7,wakaba,splashbomb,greatbarrier,1427,9,6,3,7,4,screwslosher,tansanbomb,nicedama,1380,12,10,2,10,3,tristringer,poisonmist,megaphone51,1265,11,6,5,7,5,screwslosher,tansanbomb,nicedama,1126,8,7,1,12,2,sshooter_collabo,splashbomb,tripletornado,1062,7,7,0,9,3
itsutsuba55,https://stat.ink/@itsutsuba55/spl3/1784cb00-a902-4d17-810f-01910fdb140c,2022-12-04 11:24:51+09:00,yagura,xmatch,gonzui,bravo,2141.3,320,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1156,7,6,1,6,5,momiji,torpedo,hopsonar,1217,10,7,3,13,4,furo,sprinkler,amefurashi,1680,1,1,0,10,6,prime_collabo,kyubanbomb,nicedama,1280,6,3,3,7,5,tristringer,poisonmist,megaphone51,1174,15,6,9,3,5,longblaster,kyubanbomb,hopsonar,894,14,11,3,5,4,splatspinner_collabo,poisonmist,greatbarrier,1302,14,10,4,6,4,wakaba,splashbomb,greatbarrier,1678,11,9,2,3,7
orangettes_san,https://stat.ink/@orangettes_san/spl3/040985d4-2dee-4a22-acac-5efb5b2bdb16,2022-12-04 11:20:46+09:00,yagura,xmatch,gonzui,alpha,1902.2,301,v2.0.0,allow,screwslosher,tansanbomb,nicedama,1521,12,11,1,5,6,sharp,quickbomb,kanitank,1563,15,11,4,4,7,nautilus47,pointsensor,amefurashi,632,15,8,7,9,3,momiji,torpedo,hopsonar,766,8,5,3,14,2,sshooter_collabo,splashbomb,tripletornado,1389,18,15,3,7,7,sputtery_hue,torpedo,sameride,896,10,5,5,10,3,longblaster,kyubanbomb,hopsonar,681,11,8,3,10,3,sharp,quickbomb,kanitank,1345,6,4,2,8,5
akayas_77,https://stat.ink/@akayas_77/spl3/9be09201-5a99-4dba-98e3-2f06f9d056a2,2022-12-04 11:19:54+09:00,yagura,xmatch,amabi,bravo,2018.3,163,v2.0.0,allow,explosher,pointsensor,amefurashi,609,2,1,1,5,1,jimuwiper,quickbomb,shokuwander,461,7,7,0,7,0,splatspinner_collabo,poisonmist,greatbarrier,725,3,1,2,5,2,momiji,torpedo,hopsonar,920,4,2,2,5,4,variableroller,trap,missile,905,10,10,0,2,4,wakaba,splashbomb,greatbarrier,770,4,2,2,2,4,prime_collabo,kyubanbomb,nicedama,818,9,4,5,2,3,longblaster,kyubanbomb,hopsonar,462,10,6,4,5,2
akayas_77,https://stat.ink/@akayas_77/spl3/cfd55569-e0d9-47b9-a4d1-ca9286be856f,2022-12-04 11:15:56+09:00,yagura,xmatch,gonzui,alpha,2018.3,149,v2.0.0,allow,explosher,pointsensor,amefurashi,677,6,2,4,1,3,hotblaster,robotbomb,greatbarrier,546,9,9,0,1,2,squiclean_a,pointsensor,greatbarrier,431,3,1,2,3,2,sharp,quickbomb,kanitank,627,2,2,0,4,2,soytuber,torpedo,missile,537,5,4,1,3,2,wakaba,splashbomb,greatbarrier,888,4,3,1,2,3,longblaster,kyubanbomb,hopsonar,415,3,1,2,5,0,bucketslosher_deco,linemarker,shokuwander,392,2,1,1,4,2
2013k3,https://stat.ink/@2013k3/spl3/0c7850b2-f969-4eaa-a8ab-1603ffad21f6,2022-12-04 11:13:58+09:00,yagura,xmatch,gonzui,bravo,,68,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,239,2,2,0,3,0,sputtery_hue,torpedo,sameride,215,2,1,1,2,0,liter4k_scope,trap,hopsonar,208,1,1,0,2,0,tristringer,poisonmist,megaphone51,190,1,1,0,3,0,prime_collabo,kyubanbomb,nicedama,265,5,4,1,0,1,promodeler_rg,sprinkler,nicedama,355,5,4,1,2,1,liter4k,trap,hopsonar,185,3,1,2,1,1,hydra,robotbomb,nicedama,252,1,1,0,2,1
itsutsuba55,https://stat.ink/@itsutsuba55/spl3/dc319c7b-6392-4f89-9137-fcafbfc3d1c7,2022-12-04 11:08:49+09:00,yagura,xmatch,gonzui,alpha,,256,v2.0.0,allow,nautilus47,pointsensor,amefurashi,721,16,10,6,4,2,pablo,splashbomb,megaphone51,1639,12,7,5,5,7,tristringer,poisonmist,megaphone51,716,5,1,4,7,2,sshooter_collabo,splashbomb,tripletornado,753,13,13,0,7,2,wakaba,splashbomb,greatbarrier,898,9,8,1,9,3,hydra,robotbomb,nicedama,1007,5,4,1,5,4,hokusai,kyubanbomb,shokuwander,961,8,7,1,8,1,prime_collabo,kyubanbomb,nicedama,678,7,4,3,9,1
Chungy,https://stat.ink/@Chungy/spl3/49fe6622-ed77-4fca-a315-45f6354938ef,2022-12-04 03:03:54+09:00,yagura,xmatch,mahimahi,alpha,1914.4,302,v2.0.0,deny,hissen,poisonmist,jetpack,754,11,7,4,8,2,prime_collabo,kyubanbomb,nicedama,1287,14,12,2,3,5,sharp,quickbomb,kanitank,1392,11,10,1,7,4,52gal,splashshield,megaphone51,925,11,9,2,8,3,kelvin525,splashshield,nicedama,1050,11,11,0,8,4,sshooter_collabo,splashbomb,tripletornado,1201,7,5,2,6,5,bold,curlingbomb,ultrahanko,1395,5,3,2,10,3,nova,splashbomb,shokuwander,783,6,5,1,14,1
ara_ta3,https://stat.ink/@ara_ta3/spl3/f0b6e872-eaf9-4c2d-a6c9-c402c01c5a1e,2022-12-04 03:00:25+09:00,yagura,xmatch,yagara,alpha,2416.0,300,v2.0.0,allow,sharp,quickbomb,kanitank,1566,13,5,8,4,5,variableroller,trap,missile,1299,14,10,4,6,4,pablo,splashbomb,megaphone51,1191,14,9,5,9,5,liter4k_scope,trap,hopsonar,1059,14,9,5,7,3,dynamo,sprinkler,energystand,1276,15,11,4,11,2,splatroller,curlingbomb,greatbarrier,1018,7,6,1,8,2,wakaba,splashbomb,greatbarrier,1882,5,4,1,7,8,liter4k,trap,hopsonar,789,9,5,4,7,3
MMRZ,https://stat.ink/@MMRZ/spl3/7ac01b17-881c-47d2-98fe-40c9aad086b7,2022-12-04 02:59:05+09:00,yagura,xmatch,mahimahi,alpha,1971.8,300,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,748,17,8,9,10,3,wakaba,splashbomb,greatbarrier,1394,16,11,5,4,4,sshooter_collabo,splashbomb,tripletornado,1308,15,12,3,9,4,momiji,torpedo,hopsonar,746,8,3,5,8,2,momiji,torpedo,hopsonar,1386,11,3,8,5,7,sputtery_hue,torpedo,sameride,989,11,10,1,11,3,longblaster,kyubanbomb,hopsonar,780,10,7,3,9,3,52gal,splashshield,megaphone51,819,10,9,1,11,2
Chungy,https://stat.ink/@Chungy/spl3/02d5bf82-2ceb-4deb-b191-645ce1560970,2022-12-04 02:54:08+09:00,yagura,xmatch,yagara,alpha,1826.5,300,v2.0.0,deny,hissen,poisonmist,jetpack,835,15,13,2,9,3,prime_collabo,kyubanbomb,nicedama,1150,11,4,7,7,8,quadhopper_black,robotbomb,sameride,1125,16,12,4,12,2,screwslosher,tansanbomb,nicedama,1178,10,7,3,9,4,screwslosher,tansanbomb,nicedama,1415,18,14,4,8,4,sharp,quickbomb,kanitank,1105,15,8,7,6,3,prime_collabo,kyubanbomb,nicedama,1040,8,5,3,8,4,nova,splashbomb,shokuwander,694,12,10,2,14,0
MMRZ,https://stat.ink/@MMRZ/spl3/fd3edc65-4e70-4381-b5e0-4dfdd36c67a4,2022-12-04 02:52:43+09:00,yagura,xmatch,mahimahi,bravo,1971.8,161,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,490,8,2,6,5,2,sharp,quickbomb,kanitank,681,8,7,1,3,1,tristringer,poisonmist,megaphone51,485,6,4,2,5,2,prime,linemarker,kanitank,636,3,3,0,5,1,52gal,splashshield,megaphone51,768,8,7,1,6,3,96gal,sprinkler,kyuinki,729,7,4,3,3,3,hydra,robotbomb,nicedama,681,5,5,0,1,3,furo,sprinkler,amefurashi,622,3,2,1,6,2
MMRZ,https://stat.ink/@MMRZ/spl3/07a121ac-9254-4646-a1cf-ac3bae574dd4,2022-12-04 02:48:42+09:00,yagura,xmatch,mahimahi,bravo,1971.8,313,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,871,16,10,6,9,2,sharp,quickbomb,kanitank,1136,23,20,3,8,4,dualsweeper,splashbomb,hopsonar,1311,17,9,8,10,4,wakaba,splashbomb,greatbarrier,1442,10,8,2,12,3,longblaster,kyubanbomb,hopsonar,865,16,10,6,10,2,prime_collabo,kyubanbomb,nicedama,1433,14,11,3,9,5,sputtery,jumpbeacon,energystand,876,14,11,3,16,2,nzap85,kyubanbomb,energystand,1412,9,7,2,12,5
ara_ta3,https://stat.ink/@ara_ta3/spl3/b78427cb-9df1-4db8-9d80-1b54c90c532a,2022-12-04 02:46:08+09:00,yagura,xmatch,mahimahi,bravo,2468.8,255,v2.0.0,allow,sharp,quickbomb,kanitank,1096,3,2,1,9,2,liter4k_scope,trap,hopsonar,1002,8,8,0,2,5,jimuwiper,quickbomb,shokuwander,954,8,6,2,10,2,bold,curlingbomb,ultrahanko,855,5,4,1,11,2,sshooter,kyubanbomb,ultrashot,1126,14,10,4,5,5,liter4k,trap,hopsonar,682,8,6,2,5,3,sharp,quickbomb,kanitank,1238,10,6,4,4,4,variableroller,trap,missile,1358,10,9,1,6,5
Chungy,https://stat.ink/@Chungy/spl3/b91e13aa-18f6-4252-9a42-0a1b355b3990,2022-12-04 02:43:54+09:00,yagura,xmatch,yagara,alpha,1826.5,300,v2.0.0,deny,hissen,poisonmist,jetpack,711,13,8,5,9,3,sharp,quickbomb,kanitank,1396,12,8,4,6,5,sputtery_hue,torpedo,sameride,1342,14,14,0,9,4,nzap85,kyubanbomb,energystand,1151,10,8,2,10,3,sharp,quickbomb,kanitank,1225,18,11,7,11,3,prime_collabo,kyubanbomb,nicedama,1064,12,10,2,6,2,maneuver,kyubanbomb,kanitank,1408,11,8,3,9,3,clashblaster,splashbomb,ultrashot,812,8,5,3,12,1
MMRZ,https://stat.ink/@MMRZ/spl3/0fd79bde-0f16-4f83-b265-bddfa73e6d7c,2022-12-04 02:41:36+09:00,yagura,xmatch,yagara,alpha,1926.7,250,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,730,8,6,2,7,2,barrelspinner,sprinkler,hopsonar,1237,13,10,3,2,5,nzap85,kyubanbomb,energystand,1028,12,7,5,8,4,carbon_deco,quickbomb,ultrashot,872,8,5,3,3,4,carbon_deco,quickbomb,ultrashot,584,8,8,0,11,2,hydra,robotbomb,nicedama,1061,7,6,1,5,4,sharp,quickbomb,kanitank,1282,4,1,3,6,4,longblaster,kyubanbomb,hopsonar,621,6,5,1,7,2
kk,https://stat.ink/@kk/spl3/9d7bad92-2b66-4a05-9f95-0b43ae131199,2022-12-04 02:38:23+09:00,yagura,xmatch,yagara,alpha,2442.9,300,v2.0.0,deny,liter4k,trap,hopsonar,983,8,5,3,6,2,longblaster,kyubanbomb,hopsonar,1164,18,15,3,7,5,carbon_deco,quickbomb,ultrashot,782,7,6,1,10,2,prime_collabo,kyubanbomb,nicedama,1027,5,4,1,6,4,carbon_deco,quickbomb,ultrashot,920,16,11,5,10,2,liter4k,trap,hopsonar,919,5,4,1,7,3,longblaster,kyubanbomb,hopsonar,967,12,10,2,8,4,bottlegeyser,splashshield,ultrashot,905,5,4,1,5,4
otofune,https://stat.ink/@otofune/spl3/f982f412-aac9-43e4-9a21-315276c1e77f,2022-12-04 02:36:52+09:00,yagura,xmatch,yagara,alpha,2045.0,300,v2.0.0,allow,furo,sprinkler,amefurashi,1274,12,7,5,6,5,wakaba,splashbomb,greatbarrier,1422,16,10,6,5,5,sshooter,kyubanbomb,ultrashot,1047,18,15,3,7,4,promodeler_rg,sprinkler,nicedama,1697,9,7,2,2,9,wakaba,splashbomb,greatbarrier,1762,8,7,1,11,3,nzap85,kyubanbomb,energystand,1358,7,2,5,11,4,wakaba,splashbomb,greatbarrier,1100,6,5,1,10,3,longblaster,kyubanbomb,hopsonar,1122,7,6,1,8,5
Magmi_Kirby,https://stat.ink/@Magmi_Kirby/spl3/e5b0bcde-80e4-40b8-b310-e4638b9b305a,2022-12-04 02:35:50+09:00,yagura,xmatch,yagara,alpha,2464.9,300,v2.0.0,allow,nautilus47,pointsensor,amefurashi,1483,16,9,7,2,7,wakaba,splashbomb,greatbarrier,1530,10,6,4,6,6,sharp,quickbomb,kanitank,1552,13,9,4,4,6,52gal,splashshield,megaphone51,1107,12,7,5,6,4,momiji,torpedo,hopsonar,1534,9,3,6,3,10,quadhopper_black,robotbomb,sameride,1290,10,9,1,12,2,wakaba,splashbomb,greatbarrier,1868,5,2,3,8,7,splatspinner_collabo,poisonmist,greatbarrier,1086,5,4,1,8,4
ara_ta3,https://stat.ink/@ara_ta3/spl3/cd13eb0b-3c02-4c25-a469-448ade154961,2022-12-04 02:31:36+09:00,yagura,xmatch,yagara,bravo,2554.8,325,v2.0.0,allow,sharp,quickbomb,kanitank,1746,17,10,7,4,6,liter4k,trap,hopsonar,802,10,5,5,11,2,jimuwiper,quickbomb,shokuwander,1450,16,13,3,10,5,screwslosher,tansanbomb,nicedama,1369,11,6,5,11,4,jimuwiper,quickbomb,shokuwander,1353,16,11,5,10,3,sshooter_collabo,splashbomb,tripletornado,1740,12,8,4,7,5,liter4k_scope,trap,hopsonar,1249,10,7,3,8,5,nova_neo,tansanbomb,ultrahanko,903,11,9,2,9,3
MMRZ,https://stat.ink/@MMRZ/spl3/eea971ca-69f4-40b5-9d81-bc043b7d3978,2022-12-04 02:29:41+09:00,yagura,xmatch,mahimahi,bravo,1926.7,156,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,551,4,4,0,6,2,prime_collabo,kyubanbomb,nicedama,547,4,3,1,6,1,furo,sprinkler,amefurashi,642,3,1,2,5,1,kelvin525,splashshield,nicedama,617,3,2,1,7,2,longblaster,kyubanbomb,hopsonar,586,10,7,3,3,3,furo,sprinkler,amefurashi,708,5,3,2,2,3,sshooter_collabo,splashbomb,tripletornado,734,9,7,2,2,2,96gal,sprinkler,kyuinki,786,7,6,1,3,3
Magmi_Kirby,https://stat.ink/@Magmi_Kirby/spl3/65fbbdfc-53b6-4611-a700-af3653c036e8,2022-12-04 02:29:31+09:00,yagura,xmatch,yagara,alpha,2464.9,300,v2.0.0,allow,nautilus47,pointsensor,amefurashi,1134,14,10,4,7,4,liter4k,trap,hopsonar,989,10,6,4,5,4,barrelspinner,sprinkler,hopsonar,1323,9,5,4,4,4,screwslosher,tansanbomb,nicedama,1250,6,5,1,5,5,splatspinner_collabo,poisonmist,greatbarrier,1287,9,6,3,6,4,hydra,robotbomb,nicedama,1032,5,2,3,7,4,screwslosher,tansanbomb,nicedama,1253,8,8,0,9,4,liter4k,trap,hopsonar,1118,5,5,0,4,2
otofune,https://stat.ink/@otofune/spl3/b37f0e87-7c56-4ba0-80fd-49776027a4bd,2022-12-04 02:25:48+09:00,yagura,xmatch,yagara,alpha,2028.4,315,v2.0.0,allow,furo,sprinkler,amefurashi,1443,11,8,3,7,5,momiji,torpedo,hopsonar,1311,9,4,5,6,6,screwslosher,tansanbomb,nicedama,1387,13,10,3,6,5,splatspinner_collabo,poisonmist,greatbarrier,1099,7,3,4,6,4,sharp,quickbomb,kanitank,1672,9,6,3,6,6,hissen,poisonmist,jetpack,941,15,13,2,6,0,explosher,pointsensor,amefurashi,1604,6,3,3,6,6,splatspinner_collabo,poisonmist,greatbarrier,838,5,3,2,7,2
MMRZ,https://stat.ink/@MMRZ/spl3/6a684e29-9c3c-490f-b401-50cc22c41d75,2022-12-04 02:24:44+09:00,yagura,xmatch,mahimahi,alpha,1926.7,324,v2.0.0,allow,longblaster,kyubanbomb,hopsonar,890,16,9,7,7,3,wakaba,splashbomb,greatbarrier,1525,7,4,3,6,7,sshooter,kyubanbomb,ultrashot,1478,15,14,1,10,4,screwslosher,tansanbomb,nicedama,987,10,6,4,7,3,sshooter_collabo,splashbomb,tripletornado,1173,14,13,1,13,3,rapid_elite,poisonmist,kyuinki,1181,13,6,7,4,5,momiji,torpedo,hopsonar,1200,8,2,6,8,6,screwslosher,tansanbomb,nicedama,1207,12,9,3,10,2
ara_ta3,https://stat.ink/@ara_ta3/spl3/5a17b52d-c9f4-48fb-8847-8b6bb44752ea,2022-12-04 02:21:00+09:00,yagura,xmatch,yagara,bravo,2554.8,300,v2.0.0,allow,wakaba,splashbomb,greatbarrier,1836,13,11,2,7,6,wakaba,splashbomb,greatbarrier,1719,9,4,5,6,6,sshooter,kyubanbomb,ultrashot,944,10,9,1,11,3,liter4k,trap,hopsonar,815,9,9,0,6,1,squiclean_a,pointsensor,greatbarrier,917,8,4,4,10,3,sharp,quickbomb,kanitank,1335,13,11,2,8,5,wakaba,splashbomb,greatbarrier,1627,10,8,2,6,6,wakaba,splashbomb,greatbarrier,1493,10,7,3,9,4
